Plan Type,County,Health Plan Name,Health Plan Offered Telehealth,Telehealth Website Website ,Telehealth Services Phone Number,Health Plan Nurse Advice Line,Special Note,Internal Note
Medi-Cal Managed Care,Alameda,Alameda Alliance for Health,No,https://alamedaalliance.org/,,1-888-433-1876,,
Commercial,Alameda,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Alameda,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Alameda,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Alameda,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Alameda,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2362,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Alameda,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Alameda,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Alameda,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Alameda,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Alpine,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Alpine,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Alpine,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Alpine,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Alpine,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Amador,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Amador,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Amador,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Amador,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Amador,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Amador,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Butte,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Butte,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Butte,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Butte,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Butte,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Calaveras,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Calaveras,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Calaveras,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Calaveras,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Calaveras,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Colusa,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Colusa,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
